Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,domain,Actor1Type1Code_filled,Actor2Type1Code_filled
0,1283198067,20250110,202501,AL QAEDA,,IMG,BENIN,BEN,,1,190,190,19,4,-10.0,10,1,10,-3.62204724409449,Benin,BN,BN,9.5,2.25,https://www.abc.com.py/internacionales/2026/01/10/benin-celebrara-elecciones-legislativas-y-municipales-entre-tension-politica-y-seguridad/,abc.com.py,IMG,STATE
1,1293185721,20250309,202503,,,,NIGERIAN,NGA,,0,190,190,19,4,-10.0,2,1,2,-5.15021459227467,"Borgou, Borgou, Benin",BN,BN10,9.75,2.75,https://allafrica.com/stories/202603090010.html,allafrica.com,UNKNOWN,UNKNOWN
2,1292317038,20250304,202503,PRISONER,,OPP,,,,1,22,22,2,1,3.2,10,1,10,-2.62172284644194,Benin,BN,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/benin-des-fideles-musulmans-implorent-la-clemence-de-talon-pour-reckya-madougou-5-ans-apres-son-arrestation/,lanouvelletribune.info,OPP,UNKNOWN
3,1281664740,20251231,202512,BENIN,BEN,,,,,1,43,43,4,1,2.8,10,1,10,-1.09589041095891,Benin,BN,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,rewmi.com,STATE,UNKNOWN
6,1281680079,20251231,202512,THE UN,,IGO,,,,0,12,12,1,1,-0.4,1,1,1,-7.81796966161027,Benin,BN,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,aa.com.tr,IGO,UNKNOWN
7,1281667763,20251231,202512,ACTOR,,ELI,,,,0,20,20,2,1,3.0,20,2,20,-3.19705727798214,Benin,BN,BN,9.5,2.25,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html,leral.net,ELI,UNKNOWN
8,1281668456,20251231,202512,POLICE,,COP,,,,0,90,90,9,2,-2.0,4,1,4,-5.65428109854608,Benin,BN,BN,9.5,2.25,https://peoplesdailyng.com/between-the-palace-and-the-police-where-does-justice-for-don-pedro-obaseki-lie/,peoplesdailyng.com,COP,UNKNOWN
9,1281664663,20251231,202512,,,,BENIN,BEN,,1,42,42,4,1,1.9,10,1,10,-1.09589041095891,Benin,BN,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,rewmi.com,UNKNOWN,STATE
10,1281698938,20251231,202512,BENIN,BEN,,BENIN,BEN,MIL,1,190,190,19,4,-10.0,2,1,2,-9.76800976800972,Benin,BN,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,firstpost.com,STATE,MIL
11,1281698939,20251231,202512,BENIN,BEN,,LIEUTENANT COLONEL,,MIL,1,190,190,19,4,-10.0,8,1,8,-9.76800976800972,Benin,BN,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,firstpost.com,STATE,MIL
12,1281698940,20251231,202512,BENIN,BEN,MIL,BENIN,BEN,,1,190,190,19,4,-10.0,2,1,2,-9.76800976800972,Benin,BN,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,firstpost.com,MIL,STATE
13,1281699529,20251231,202512,LIEUTENANT COLONEL,,MIL,BENIN,BEN,,1,190,190,19,4,-10.0,8,1,8,-9.76800976800972,Benin,BN,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,firstpost.com,MIL,STATE
14,1281719151,20251231,202512,BURKINA FASO,BFA,GOV,MALI,MLI,,0,50,50,5,1,3.5,2,1,2,-5.5640243902439,Burkina Faso,UV,UV,13.0,-2.0,https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/,foreignpolicy.com,GOV,STATE
15,1281719154,20251231,202512,BURKINA FASO,BFA,GOV,NIGER,NER,,0,50,50,5,1,3.5,2,1,2,-5.5640243902439,Burkina Faso,UV,UV,13.0,-2.0,https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/,foreignpolicy.com,GOV,STATE
16,1281719566,20251231,202512,MALI,MLI,,BURKINA FASO,BFA,GOV,0,50,50,5,1,3.5,2,1,2,-5.5640243902439,Burkina Faso,UV,UV,13.0,-2.0,https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/,foreignpolicy.com,STATE,GOV
17,1281719569,20251231,202512,MALI,MLI,,NIGER,NER,,0,50,50,5,1,3.5,2,1,2,-5.5640243902439,Burkina Faso,UV,UV,13.0,-2.0,https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/,foreignpolicy.com,STATE,STATE
18,1281719581,20251231,202512,NIGER,NER,,BURKINA FASO,BFA,GOV,0,50,50,5,1,3.5,2,1,2,-5.5640243902439,Burkina Faso,UV,UV,13.0,-2.0,https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/,foreignpolicy.com,STATE,GOV
19,1281719583,20251231,202512,NIGER,NER,,MALI,MLI,,0,50,50,5,1,3.5,2,1,2,-5.5640243902439,Burkina Faso,UV,UV,13.0,-2.0,https://foreignpolicy.com/2025/12/31/africa-2026-predictions-elections-ethiopia-insecurity/,foreignpolicy.com,STATE,STATE
20,1281665043,20251231,202512,CAPTAIN,,MIL,SENEGAL,SEN,,1,10,10,1,1,0.0,10,1,10,-1.09589041095891,Benin,BN,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,rewmi.com,MIL,STATE
21,1281686235,20251231,202512,SENEGAL,SEN,,BENIN,BEN,,1,20,20,2,1,3.0,10,1,10,-1.0204081632653,Benin,BN,BN,9.5,2.25,https://fr.allafrica.com/view/group/main/main/id/00095248.html,fr.allafrica.com,STATE,STATE
24,1281679676,20251231,202512,BENIN,BEN,,TOGO,TGO,,0,80,80,8,2,5.0,2,1,2,-7.81796966161027,Benin,BN,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,aa.com.tr,STATE,STATE
25,1281679678,20251231,202512,BENIN,BEN,,TOGO,TGO,,0,110,110,11,3,-2.0,2,1,2,-7.81796966161027,Benin,BN,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,aa.com.tr,STATE,STATE
26,1281679680,20251231,202512,ALASSANE SEIDOU,BEN,GOV,GOVERNMENT,BEN,GOV,0,60,60,6,2,6.0,2,1,2,-7.81796966161027,Benin,BN,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,aa.com.tr,GOV,GOV
